date,sample_number,depth,temperature,discrete_sal,ph,discrete_ta,source,comments,season
5/2/18,,0.5,10.6553,31.663,7.945,2149.7,ru,,spring
5/2/18,,0.5,10.6553,31.663,7.945,2149.8,ru,,spring
5/2/18,,0.5,10.6553,31.663,7.945,2147.6,ru,,spring
5/2/18,,11,10.2823,31.408,7.947,2154.3,ru,,spring
5/2/18,,11,10.2823,31.408,7.947,2154.1,ru,,spring
5/2/18,,11,10.2823,31.408,7.947,2155,ru,,spring
5/2/18,,15,8.7782,31.559,7.973,2153.8,ru,,spring
5/2/18,,15,8.7782,31.559,7.973,2154.1,ru,,spring
5/2/18,,14,8.7782,31.559,7.972,2152.7,ru,,spring
5/22/18,,0.5,14.40602,30.498,8.01,2091.7,ru,,spring
5/22/18,,0.5,14.40602,30.498,8.01,2091,ru,,spring
5/22/18,,9,13.07504444,30.487,7.988,2108.2,ru,,spring
5/22/18,,9,13.07504444,30.487,7.988,2106.9,ru,,spring
5/22/18,,23,11.19701053,31.577,7.987,2155,ru,,spring
5/22/18,,23,11.19701053,31.577,7.987,2155.1,ru,,spring
2/19/19,,1,4.691,31.354,8.141,2139,ru,,winter
2/19/19,,1,4.691,31.354,8.141,2119.9,ru,,winter
2/19/19,,1,4.691,31.354,8.141,2132.1,ru,,winter
2/19/19,,1,4.691,31.354,8.141,2130.2,ru,,winter
7/17/19,,1.07,24.6018,29.211,7.968,2015.5,ru,,summer
7/17/19,,6.75,23.5322,29.3766,7.965,2024.4,ru,,summer
7/17/19,,13.62,13.73,31.2275,7.98,2090.1,ru,,summer
7/17/19,,25.41,11.3506,31.7514,7.774,2126.9,ru,,summer
7/17/19,,26.58,11.0446,31.8189,7.774,2124.5,ru,,summer
8/12/19,,1.047,23.8387,30.154,7.993,2025.1,ru,,summer
8/12/19,,6.65,22.5609,30.6059,7.96,2034.9,ru,,summer
8/12/19,,9.562,20.7866,31.0024,7.911,2055.7,ru,,summer
8/12/19,,13.513,15.5984,31.3921,7.905,2091.5,ru,,summer
8/12/19,,21.22,11.2453,32.1253,7.84,2135.3,ru,,summer
8/12/19,,27.605,9.3598,32.3313,7.836,2162.4,ru,,summer
7/17/19,,0.61,24.78,29.2903,7.946,2009.35,ru,,summer
7/17/19,,6.98,19.9022,30.4873,7.878,2028.3,ru,,summer
7/17/19,,9.67,16.8304,30.7084,7.838,2056.3,ru,,summer
7/17/19,,13.61,14.2762,31.6551,7.832,2109.1,ru,,summer
7/17/19,,20.62,12.5728,31.7562,7.743,2120.25,ru,,summer
7/17/19,,24.83,11.302,31.7639,7.734,2125.05,ru,,summer
10/15/19,,1.042,18.619,31.8539,7.958,2150.9,ru,,fall
10/15/19,,1.042,18.619,31.8539,7.958,2169.6,ru,,fall
10/15/19,,3.542,18.5231,31.8548,7.959,2162.2,ru,,fall
10/15/19,,3.542,18.5231,31.8548,7.959,2167,ru,,fall
10/15/19,,5.219,18.4815,31.8462,7.957,2168.8,ru,,fall
10/15/19,,5.219,18.4815,31.8462,7.957,2148.5,ru,,fall
10/15/19,,12.325,18.4173,31.8602,7.952,2156.7,ru,,fall
10/15/19,,12.325,18.4173,31.8602,7.952,2161.5,ru,,fall
10/15/19,,24.231,18.159,32.1888,7.944,2182.2,ru,,fall
10/15/19,,24.231,18.159,32.1888,7.944,2180.3,ru,,fall
10/15/19,,39.376,16.4265,33.2001,7.926,2234.2,ru,,fall
10/15/19,,39.376,16.4265,33.2001,7.926,2244.9,ru,,fall
11/6/19,,1.068,14.4601,29.2045,8.036,2127.2,ru,,fall
11/6/19,,1.068,14.4601,29.2045,8.036,2134,ru,,fall
11/6/19,,4.66,14.5188,29.7205,8.04,2127.9,ru,,fall
11/6/19,,4.66,14.5188,29.7205,8.04,2137.2,ru,,fall
11/6/19,,9.716,14.7166,30.3892,8.037,2133.6,ru,,fall
11/6/19,,9.716,14.7166,30.3892,8.037,2122.1,ru,,fall
11/6/19,,14.535,15.7266,31.645,8.025,2181.8,ru,,fall
11/6/19,,14.535,15.7266,31.645,8.025,2171,ru,,fall
11/6/19,,20.022,16.3721,33.485,8.008,2255.8,ru,,fall
11/6/19,,20.022,16.3721,33.485,8.008,2245.2,ru,,fall
11/6/19,,22.446,16.3696,33.4871,8.005,2260.6,ru,,fall
11/6/19,,22.446,16.3696,33.4871,8.005,2262.5,ru,,fall
2/26/21,210226-RU01,1,4.16,32.29,7.803575667,2187.9,ru,,winter
2/26/21,210226-RU02,1,4.16,32.29,7.804945,2191.1,ru,,winter
3/21/21,210321-RU03,1,4.97,32.44,7.810332333,2176.35,ru,,winter
3/21/21,210321-RU04,1,4.97,32.44,7.809524333,2176.75,ru,,winter
2/26/21,,30,,32.851,7.8492,2181.3,sbu,,winter
2/26/21,,2,,32.2,7.8425,2180.9,sbu,,winter
2/26/21,,30,,32.851,7.8104,2189.5,sbu,,winter
2/26/21,,2,,32.2,7.831,2179.6,sbu,,winter
3/23/21,,0,,32.79,7.8515,2225.3,sbu,bucket,winter
3/23/21,,0,,32.79,7.8487,2218.9,sbu,bucket,winter
5/13/21,,0,,31.3,7.8065,2130.8,sbu,,spring
5/13/21,,10,,31.33,7.8133,2142.6,sbu,,spring
5/13/21,,35,,32.8,7.7098,2211.4,sbu,,spring
5/13/21,,0,,31.3,7.8053,2138.6,sbu,,spring
5/13/21,,10,,31.33,7.8044,2133.3,sbu,,spring
5/13/21,,35,,32.8,7.7052,2215.4,sbu,,spring
5/3/21,210503-RU05,0,13.21,31.69,7.8032,2161.3,ru,,spring
5/3/21,210503-RU06,14.4,10.44,32.08,7.7368,2191.1,ru,,spring
5/3/21,210503-RU07,0,13.21,31.69,7.7959,2159.3,ru,,spring
5/3/21,210503-RU08,13.2,10.44,32.08,7.7424,2180.5,ru,,spring
5/27/21,210527-RU26,0.869,15.833,32.061,7.7103,2210,ru,,spring
5/27/21,210527-RU25,2.645,15.611,32.106,7.7161,2208.9,ru,,spring
5/27/21,210527-RU12,6.236,13.715,32.34,7.7136,2204.6,ru,,spring
5/27/21,210527-RU11,9.714,12.238,32.458,7.7559,2231.2,ru,,spring
5/27/21,210527-RU10,12.132,11.508,32.541,7.7538,2186.9,ru,,spring
5/27/21,210527-RU09,14.16,11.354,32.588,7.7401,2177.2,ru,,spring
5/27/21,210527-RU27,0.901,16.098,32.023,7.7248,2179.4,ru,,spring
5/27/21,210527-RU28,2.544,15.754,32.043,7.7621,2173.2,ru,,spring
5/27/21,210527-RU29,6.124,14.202,32.31,7.736,2190.3,ru,,spring
5/27/21,210527-RU30,9.565,12.013,32.486,7.7116,2207.3,ru,,spring
5/27/21,210527-RU31,12.121,11.462,32.561,7.7258,2214.2,ru,,spring
5/27/21,210527-RU32,14.875,11.384,32.586,7.7185,2204.3,ru,,spring
7/16/21,210716-RU56,0.597,24.857,28.954,8.0977,,ru,,summer
7/16/21,210716-RU55,3.381,24.337,29.015,8.0941,,ru,,summer
7/16/21,210716-RU33,11.454,17.939,31.325,7.7781,,ru,,summer
7/16/21,210716-RU62,0.853,24.658,29.006,8.0958,,ru,,summer
7/16/21,210716-RU61,4.118,24.189,29.271,8.0756,,ru,,summer
7/16/21,210716-RU60,6.107,23.028,31.301,7.9561,,ru,,summer
7/16/21,210716-RU59,7.708,19.826,31.439,7.9194,,ru,,summer
8/20/21,210820-RU68,0.213,24.8885,30.8079,7.8998,,ru,,summer
8/20/21,210820-RU67,4.694,24.8687,30.8879,7.9104,,ru,,summer
8/20/21,210820-RU66,8.183,24.6223,31.0296,7.8957,,ru,,summer
8/20/21,210820-RU65,10.702,20.3765,31.5029,7.8034,,ru,,summer
8/20/21,210820-RU63,15.467,15.0873,31.9901,7.6662,,ru,,summer
8/20/21,210820-RU74,0.784,24.8728,30.8197,7.9131,,ru,,summer
8/20/21,210820-RU73,4.752,24.8708,30.9489,7.9093,,ru,,summer
8/20/21,210820-RU72,7.255,24.6233,31.0095,7.9126,,ru,,summer
8/20/21,210820-RU71,10.643,21.4919,31.2371,7.8078,,ru,,summer
8/20/21,210820-RU70,12.991,15.2018,31.9933,7.6465,,ru,,summer
8/20/21,210820-RU69,15.499,14.85,32.0065,7.6547,,ru,,summer
10/20/21,211020-RU78,0,18.9843,31.8075,7.8633,2178.2,ru,,fall
10/20/21,211020-RU92,0,18.9843,31.8075,7.8777,2160.7,ru,,fall
11/17/21,211117-RU93,0,13.0511,31.5511,7.7816,2162.4,ru,,fall
11/17/21,211117-RU94,0,13.0511,31.5511,7.7984,2172.3,ru,,fall